life,arm,sleep,n_items,n_thinking,n_qa,n_episodic,n_reflection,n_principle,n_other,n_notes,first_person,prospective,retrospective,generic,specific,mean_note_words,prev_sleep,cumulative,n_new,n_dropped,new_n_notes,new_first_person,new_prospective,new_retrospective,new_generic,new_specific,new_mean_note_words
R2_B_seed3,R2,1024,1234,712,161,23,0,0,338,661,0.01361573373676248,0.03479576399394856,0.007564296520423601,0.0045385779122541605,0.6928895612708018,14.494704992435704,0992,True,12,0,9,0.0,0.0,0.0,0.0,0.8888888888888888,12.0
R2_B_seed4,R2,0032,125,37,44,7,0,0,37,22,0.45454545454545453,0.5,0.18181818181818182,0.36363636363636365,0.5,32.5,,,,,,,,,,,
R2_B_seed4,R2,0064,253,76,92,7,0,0,78,59,0.3220338983050847,0.3559322033898305,0.23728813559322035,0.13559322033898305,0.5932203389830508,24.050847457627118,0032,True,128,0,37,0.24324324324324326,0.2702702702702703,0.2702702702702703,0.0,0.6486486486486487,19.027027027027028
R2_B_seed4,R2,0096,306,92,103,7,0,0,104,75,0.26666666666666666,0.30666666666666664,0.18666666666666668,0.10666666666666667,0.6533333333333333,22.946666666666665,0064,True,53,0,16,0.0625,0.125,0.0,0.0,0.875,18.875
R2_B_seed4,R2,0128,327,105,104,7,0,0,111,88,0.25,0.2727272727272727,0.17045454545454544,0.09090909090909091,0.6818181818181818,22.397727272727273,0096,True,21,0,13,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.8461538461538461,19.23076923076923
R2_B_seed4,R2,0160,366,138,104,7,0,0,117,121,0.21487603305785125,0.2231404958677686,0.1322314049586777,0.0743801652892562,0.71900826446281,21.68595041322314,0128,True,39,0,33,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.8181818181818182,19.78787878787879
R2_B_seed4,R2,0192,427,180,107,7,0,0,133,161,0.18012422360248448,0.18633540372670807,0.10559006211180125,0.055900621118012424,0.7888198757763976,21.832298136645964,0160,True,61,0,40,0.075,0.075,0.025,0.0,1.0,22.275
R2_B_seed4,R2,0224,465,215,107,7,0,0,136,195,0.14871794871794872,0.15897435897435896,0.08717948717948718,0.046153846153846156,0.8256410256410256,21.846153846153847,0192,True,38,0,34,0.0,0.029411764705882353,0.0,0.0,1.0,21.91176470588235
R2_B_seed4,R2,0256,517,255,111,7,0,0,144,235,0.12340425531914893,0.14042553191489363,0.07659574468085106,0.03829787234042553,0.851063829787234,21.919148936170213,0224,True,52,0,40,0.0,0.05,0.025,0.0,0.975,22.275
R2_B_seed4,R2,0288,557,291,112,7,0,0,147,271,0.1070110701107011,0.12177121771217712,0.06642066420664207,0.03690036900369004,0.8708487084870848,22.280442804428045,0256,True,40,0,36,0.0,0.0,0.0,0.027777777777777776,1.0,24.63888888888889
R2_B_seed4,R2,0320,604,333,113,7,0,0,151,313,0.0926517571884984,0.10543130990415335,0.05750798722044728,0.03194888178913738,0.8881789137380192,22.80511182108626,0288,True,47,0,42,0.0,0.0,0.0,0.0,1.0,26.19047619047619
R2_B_seed4,R2,0352,640,366,113,7,0,0,154,346,0.0838150289017341,0.0953757225433526,0.05202312138728324,0.028901734104046242,0.8988439306358381,23.254335260115607,0320,True,36,0,33,0.0,0.0,0.0,0.0,1.0,27.515151515151516
R2_B_seed4,R2,0384,688,405,115,7,0,0,161,385,0.07532467532467532,0.08571428571428572,0.046753246753246755,0.03116883116883117,0.9090909090909091,24.30909090909091,0352,True,48,0,39,0.0,0.0,0.0,0.05128205128205128,1.0,33.666666666666664
R2_B_seed4,R2,0416,726,436,117,7,0,0,166,416,0.07211538461538461,0.07932692307692307,0.04326923076923077,0.028846153846153848,0.9158653846153846,24.973557692307693,0384,True,38,0,31,0.03225806451612903,0.0,0.0,0.0,1.0,33.225806451612904
R2_B_seed4,R2,0448,761,467,118,7,0,0,169,447,0.07158836689038031,0.0738255033557047,0.040268456375838924,0.026845637583892617,0.9194630872483222,25.90380313199105,0416,True,35,0,31,0.06451612903225806,0.0,0.0,0.0,0.967741935483871,38.38709677419355
R2_B_seed4,R2,0480,809,502,122,7,0,0,178,482,0.06639004149377593,0.06846473029045644,0.03734439834024896,0.024896265560165973,0.9253112033195021,27.217842323651453,0448,True,48,0,35,0.0,0.0,0.0,0.0,1.0,44.0
R2_B_seed4,R2,0512,854,540,124,7,0,0,183,520,0.06153846153846154,0.06346153846153846,0.03461538461538462,0.023076923076923078,0.9307692307692308,28.265384615384615,0480,True,45,0,38,0.0,0.0,0.0,0.0,1.0,41.55263157894737
